分数,人数,累计人数,分数,人数,累计人数
467,633,101102,467,633,101102
466,698,101800,466,698,101800
465,660,102460,465,660,102460
464,708,103168,464,708,103168
463,699,103867,463,699,103867
462,647,104514,462,647,104514
461,647,105161,461,647,105161
460,684,105845,460,684,105845
459,659,106504,459,659,106504
458,635,107139,458,635,107139
457,708,107847,457,708,107847
456,690,108537,456,690,108537
455,691,109228,455,691,109228
454,651,109879,454,651,109879
453,626,110505,453,626,110505
452,681,111186,452,681,111186
451,632,111818,451,632,111818
450,681,112499,450,681,112499
449,712,113211,449,712,113211
448,628,113839,448,628,113839
447,659,114498,447,659,114498
446,696,115194,446,696,115194
445,655,115849,445,655,115849
444,644,116493,444,644,116493
443,661,117154,443,661,117154
442,670,117824,442,670,117824
441,670,118494,441,670,118494
440,667,119161,440,667,119161
439,668,119829,439,668,119829
438,665,120494,438,665,120494
437,621,121115,437,621,121115
436,676,121791,436,676,121791
435,619,122410,435,619,122410
434,639,123049,434,639,123049
433,673,123722,433,673,123722
432,692,124414,432,692,124414
431,686,125100,431,686,125100
430,640,125740,430,640,125740
429,617,126357,429,617,126357
428,673,127030,428,673,127030
427,702,127732,427,702,127732
426,719,128451,426,719,128451
425,649,129100,425,649,129100
424,693,129793,424,693,129793
423,699,130492,423,699,130492
422,650,131142,422,650,131142
421,634,131776,421,634,131776
420,645,132421,420,645,132421
419,650,133071,419,650,133071
418,631,133702,418,631,133702
417,673,134375,417,673,134375
416,720,135095,416,720,135095
415,641,135736,415,641,135736
414,675,136411,414,675,136411
413,604,137015,413,604,137015
412,695,137710,412,695,137710
411,644,138354,411,644,138354
410,668,139022,410,668,139022
409,624,139646,409,624,139646
408,651,140297,408,651,140297
407,637,140934,407,637,140934
406,651,141585,406,651,141585
405,651,142236,405,651,142236
404,609,142845,404,609,142845
403,607,143452,403,607,143452
402,648,144100,402,648,144100
401,645,144745,401,645,144745
400,601,145346,400,601,145346
399,613,145959,399,613,145959
398,628,146587,398,628,146587
397,609,147196,397,609,147196
396,635,147831,396,635,147831
395,596,148427,395,596,148427
394,604,149031,394,604,149031
393,631,149662,393,631,149662
392,626,150288,392,626,150288
